viewCount,likeCount,subscribers,totalViews,totalVideos,durationSecs,title length,Label
170936,2930,988000,123211115,1924,311,43,1
164904,3099,988000,123211115,1924,475,54,1
92965,2060,988000,123211115,1924,227,53,1
120978,2547,988000,123211115,1924,459,47,1
124111,3709,988000,123211115,1924,529,46,1
266015,4662,988000,123211115,1924,502,42,1
133104,2643,988000,123211115,1924,324,44,1
113373,2377,988000,123211115,1924,210,38,1
114009,2971,988000,123211115,1924,410,43,1
109920,2710,988000,123211115,1924,483,42,1
72603,1777,988000,123211115,1924,316,46,1
139582,2860,988000,123211115,1924,567,51,1
81247,1682,988000,123211115,1924,172,39,1
114731,2138,988000,123211115,1924,318,47,1
65894,1780,988000,123211115,1924,218,48,1
59988,1609,988000,123211115,1924,226,40,1
70370,6331,988000,123211115,1924,257,48,1
107445,1816,123000,10005743,325,351,55,1
115199,2199,123000,10005743,325,394,79,1
50402,918,123000,10005743,325,408,70,1
59681,1136,123000,10005743,325,412,78,1
45720,985,123000,10005743,325,381,66,1
158787,3176,123000,10005743,325,518,57,1
79071,1843,123000,10005743,325,607,81,1
72151,1325,123000,10005743,325,473,74,1
57789,1169,123000,10005743,325,539,72,1
34978,900,123000,10005743,325,442,82,1
93999,2317,123000,10005743,325,650,70,1
43924,1315,123000,10005743,325,381,64,1
50882,1402,123000,10005743,325,548,50,1
39807,1272,123000,10005743,325,455,71,1
2366,65,123000,10005743,325,93,42,0
41930,811,494000,37774999,1506,305,64,1
44420,966,494000,37774999,1506,546,64,1
49056,941,494000,37774999,1506,697,46,1
17521,291,494000,37774999,1506,555,58,1
13658,267,494000,37774999,1506,353,74,1
8633,182,494000,37774999,1506,253,57,1
5167,111,494000,37774999,1506,288,58,1
7539,190,494000,37774999,1506,344,48,1
6818,152,494000,37774999,1506,225,79,1
24861,544,494000,37774999,1506,283,43,1
9339,250,494000,37774999,1506,296,48,1
6955,161,494000,37774999,1506,302,62,1
5275,138,494000,37774999,1506,282,41,1
3902,128,494000,37774999,1506,253,61,1
7168,173,494000,37774999,1506,243,39,1
3947,111,494000,37774999,1506,295,51,1
2935,75,494000,37774999,1506,275,56,1
4452,121,494000,37774999,1506,314,52,1
3710,91,494000,37774999,1506,316,67,1
2890,65,494000,37774999,1506,181,53,1
4003,108,494000,37774999,1506,311,45,1
